Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0159981251,112,45
BA*,0.030002594,133,45
EBA*,0.0309963226,158,45
DIJKSTRA,0.0110020638,991,45
DFS_NORMAL,0.0230002403,9431,13675
DFS_LIM,0.0249993801,10574,12045
BFS,0.0039975643,1183,45
A*,0.0210027695,438,83
BA*,0.0309996605,607,83
EBA*,0.0309960842,577,83
DIJKSTRA,0.0170040131,2571,83
DFS_NORMAL,0.0139997005,5565,12099
DFS_LIM,0.0089969635,3498,9847
BFS,0.0070011616,2484,693
A*,0.0189979076,112,94
BA*,0.0340006351,166,94
EBA*,0.0299999714,169,94
DIJKSTRA,0.0090010166,349,94
DFS_NORMAL,0.0210001469,8929,15214
DFS_LIM,0.022002697,9276,12886
BFS,0.0029947758,430,138
A*,0.0150017738,48,23
BA*,0.0330021381,62,23
EBA*,0.0359978676,65,23
DIJKSTRA,0.0119993687,210,23
DFS_NORMAL,0.0109989643,3388,8731
DFS_LIM,0.0149998665,5558,9633
BFS,0.0029993057,355,23
A*,0.0559997559,12520,317
BA*,0.0360007286,1433,327
EBA*,0.0460035801,1425,327
DIJKSTRA,0.0539991856,14598,317
DFS_NORMAL,0.0260007381,13377,7347
DFS_LIM,0.026999712,13369,8107
BFS,0.0069999695,2684,451
A*,0.0190005302,475,195
BA*,0.0410015583,648,195
EBA*,0.0419995785,751,195
DIJKSTRA,0.0149996281,2591,195
DFS_NORMAL,0.0249972343,10649,17631
DFS_LIM,0.0110023022,4972,1741
BFS,0.0080008507,3234,805
A*,0.0160005093,318,64
BA*,0.0369999409,204,68
EBA*,0.0400021076,214,68
DIJKSTRA,0.0119998455,1015,64
DFS_NORMAL,0.0029983521,648,2564
DFS_LIM,0.003000021,648,2564
BFS,0.0040006638,928,826
A*,0.0210001469,2057,126
BA*,0.0339987278,1390,128
EBA*,0.0340025425,1558,128
DIJKSTRA,0.0259985924,4912,126
DFS_NORMAL,0.018004179,6183,10540
DFS_LIM,0.0360004902,12908,7530
BFS,0.0139951706,5363,286
A*,0.016998291,453,76
BA*,0.0310018063,433,76
EBA*,0.0320003033,605,76
DIJKSTRA,0.0179994106,2580,76
DFS_NORMAL,0.0059988499,1331,3110
DFS_LIM,0.0079982281,2281,1020
BFS,0.0079979897,2726,192
A*,0.0169970989,17,10
BA*,0.0299983025,20,10
EBA*,0.031999588,20,10
DIJKSTRA,0.009999752,42,10
DFS_NORMAL,0.0280005932,14597,112
DFS_LIM,0.0029985905,283,26
BFS,0.0029995441,42,10
A*,0.0179991722,971,91
BA*,0.0320003033,732,91
EBA*,0.0350010395,688,91
DIJKSTRA,0.0229992867,4878,91
DFS_NORMAL,0.0239999294,10512,12463
DFS_LIM,0.0250003338,11102,11013
BFS,0.0090003014,3893,197
A*,0.0160000324,268,57
BA*,0.0300009251,268,57
EBA*,0.0300006866,265,57
DIJKSTRA,0.0120005608,1653,57
DFS_NORMAL,0.02099967,8928,12259
DFS_LIM,0.0209999084,9212,11353
BFS,0.0059988499,2322,57
A*,0.0250003338,3141,156
BA*,0.0329983234,1131,156
EBA*,0.0319991112,1108,156
DIJKSTRA,0.0280008316,7004,156
DFS_NORMAL,0.0149998665,6361,6388
DFS_LIM,0.018999815,8547,8798
BFS,0.0099995136,4441,794
A*,0.0159978867,338,87
BA*,0.0309998989,377,91
EBA*,0.0309996605,409,87
DIJKSTRA,0.0140008926,1917,87
DFS_NORMAL,0.003000021,173,271
DFS_LIM,0.0030002594,323,349
BFS,0.0059998035,2514,105
A*,0.0639955997,10825,372
BA*,0.031999588,770,388
EBA*,0.0329992771,920,388
DIJKSTRA,0.0500032902,14608,372
DFS_NORMAL,0.009001255,2871,8030
DFS_LIM,0.0109982491,4478,7060
BFS,0.017999649,9231,658
A*,0.0180001259,900,133
BA*,0.0330011845,1170,133
EBA*,0.0340003967,1163,133
DIJKSTRA,0.0170001984,2837,133
DFS_NORMAL,0.0129959583,4141,10253
DFS_LIM,0.0110025406,4249,9475
BFS,0.0069987774,2896,423
A*,0.0199992657,510,61
BA*,0.0309996605,156,61
EBA*,0.0299990177,208,61
DIJKSTRA,0.0140018463,1798,61
DFS_NORMAL,0.0019979477,43,61
DFS_LIM,0.0020000935,43,61
BFS,0.004001379,1147,61
A*,0.0190012455,1040,98
BA*,0.0370025635,331,98
EBA*,0.0389990807,445,98
DIJKSTRA,0.021001339,4244,98
DFS_NORMAL,0.0080001354,2630,6020
DFS_LIM,0.0150010586,6706,7162
BFS,0.0080018044,3413,174
A*,0.0170006752,794,128
BA*,0.0359971523,1066,138
EBA*,0.0420014858,1515,136
DIJKSTRA,0.0379984379,7994,128
DFS_NORMAL,0.0280001163,12865,10366
DFS_LIM,0.026001215,11926,9330
BFS,0.0220000744,10938,448
A*,0.025998354,2394,207
BA*,0.0440042019,2182,207
EBA*,0.0419995785,2500,211
