Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS_LIM,1.9986628999999998,870,592
DFS,0.9996891,262,348
DFS_LIM,0.0,76,40
DFS,1.9967556,819,710
DFS_LIM,2.0003319,831,680
DFS,1.9991397999999998,556,338
DFS_LIM,1.9993782,544,230
DFS,0.9994507,618,1018
DFS_LIM,1.0018349,744,274
DFS,1.0004044,560,598
DFS_LIM,0.9989738,650,732
DFS,1.999855,719,679
DFS_LIM,1.0004044,821,653
DFS,0.9992123,134,228
DFS_LIM,1.0001659,313,292
DFS,0.0,312,816
DFS_LIM,1.0015965,395,752
DFS,1.9979477,668,1096
DFS_LIM,2.0046234,828,978
DFS,0.9999275,270,292
DFS_LIM,0.0,56,338
DFS,0.9999275,662,624
DFS_LIM,1.0030270000000001,701,746
DFS,0.9982585999999999,385,784
DFS_LIM,0.9996891,490,364
DFS,1.0035038,559,558
DFS_LIM,1.0001659,573,502
DFS,1.0032654,499,634
DFS_LIM,0.9999275,605,292
DFS,1.9993782,646,1117
DFS_LIM,1.0001659,515,427
DFS,0.0,126,302
DFS_LIM,1.0011196,122,200
DFS,2.0017624,703,701
DFS_LIM,0.9999275,703,605
DFS,0.9994507,359,833
DFS_LIM,1.0001659,460,647
DFS,0.0,112,117
DFS_LIM,0.0,332,231
DFS,2.0005702999999997,791,1230
DFS_LIM,2.0000934999999997,797,1070
DFS,0.0,287,675
DFS_LIM,1.0001659,325,111
DFS,0.9984970000000001,440,368
DFS_LIM,0.9999275,516,488
DFS,0.9999275,687,424
DFS_LIM,0.9999275,679,480
DFS,1.0004044,247,193
DFS_LIM,0.9999275,306,181
DFS,1.0001659,429,356
DFS_LIM,1.0008812,302,294
DFS,2.0000934999999997,895,779
DFS_LIM,2.0024776,877,517
DFS,0.9984970000000001,189,183
DFS_LIM,1.0008812,375,273
DFS,0.0,198,437
DFS_LIM,1.0004044,463,527
DFS,0.0,150,230
DFS_LIM,1.0001659,553,494
